product_name,product_url_image,product_price,product_discount_price,product_stock,product_volume,product_weight
Lifebuoy Antibacterial Lemonfresh Body Wash Pouch 850ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Lifebuoy_Antibacterial_Lemonfresh_Body_Wash_Pouch_850ml_Sabun_Mandi_240x240.png,52000,44200,8,1000,850
Lifebuoy Total 10 Antibacterial Body Wash Pouch 850ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Lifebuoy_Total_10_Antibacterial_Body_Wash_Pouch_850ml_Sabun_Mandi_240x240.png,58300,,5,1000,850
Biore Body Foam Pure Mild - 450ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Biore_Body_Foam_Pure_Mild_-_450ml_Sabun_Mandi_1653725595026_PRODUCT_240x240.png,28600,,1,2156,450
Biore Body Foam White Scrub - 450ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Biore_Body_Foam_White_Scrub_-_450ml_Sabun_Mandi_1650599006582_PRODUCT_240x240.png,29300,,4,750,450
Biore Guard Body Foam Lively Fresh - 450ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Biore_Guard_Body_Foam_Lively_Fresh_-_450ml_Sabun_Mandi_1650598986783_PRODUCT_240x240.png,28100,,2,750,450
Biore Body Foam Relaxing - 450ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Biore_Body_Foam_Relaxing_-_450ml_Sabun_Mandi_1650598967545_PRODUCT_240x240.png,28700,,4,750,450
Lux Botanicals Liquid Soap Pouch Velvet Jasmine 850ml/Sabun,https://storage.googleapis.com/indo-astro/Lux_Botanicals_Liquid_Soap_Pouch_Velvet_Jasmine_900ml_Sabun_240x240.png,45700,,8,1000,900
Lux Botanicals Liquid Soap Pouch Soft Rose 825ml/Sabun,https://storage.googleapis.com/indo-astro/Lux_Botanicals_Liquid_Soap_Pouch_Soft_Rose_900ml_Sabun_240x240.png,59500,,7,1000,900
Lux Botanicals Liquid Soap Pouch Sakura Bloom 850ml/Sabun,https://storage.googleapis.com/indo-astro/Lux_Botanicals_Liquid_Soap_Pouch_Sakura_Bloom_900ml_Sabun_240x240.png,57600,49200,11,1000,900
Lux Botanicals Bar Soap Multipack Magical Orchid 3x110gr/Sabun,https://storage.googleapis.com/indo-astro/Lux_Botanicals_Bar_Soap_Multipack_Magical_Orchid_3x110gr_Sabun_240x240.png,18300,,3,162,110
Lux Botanicals Bar Soap Multipack Soft Rose 3x110gr/Sabun,https://storage.googleapis.com/indo-astro/Lux_Botanicals_Bar_Soap_Multipack_Soft_Rose_3x110gr_Sabun_240x240.png,18300,,14,162,110
Lifebuoy TS Mild Care 4x110gr - Sabun Batang/Bar Soap,https://storage.googleapis.com/indo-astro/Lifebuoy_TS_Mild_Care_4x110gr_-_Sabun_Batang_Bar_Soap_240x240.png,18800,,14,162,460
Dove Deeply Nourishing Body Wash Pouch 400ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Dove_Deeply_Nourishing_Body_Wash_Pouch_400ml_Sabun_Mandi_1659154525797_PRODUCT_240x240.png,40800,33900,5,1960,415
Dove Deeply Nourishing Body Wash 550ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Dove_Deeply_Nourishing_Bodywash_550ml_Sabun_Mandi_240x240.png,76400,,8,1200,650
