product_name,product_url_image,product_price,product_discount_price,product_stock,product_volume,product_weight
Monde Snack Gold 60gr,https://storage.googleapis.com/indo-astro/Monde_Snack_Gold_60gr_240x240.png,4100,,0,1440,74
Monde Snack Spicy 50gr,https://storage.googleapis.com/indo-astro/Monde_Snack_Spicy_50gr_240x240.png,4100,,0,1440,70
Nissin Lemonia Lemon Flavored Biscuit 130gr/Biskuit,https://storage.googleapis.com/indo-astro/Nissin_Lemonia_Lemon_Flavored_Biscuit_130gr_Biskuit_240x240.png,7000,,0,1092,130
Nissin Longer Stick Biscuits 100gr/Biskuit,https://storage.googleapis.com/indo-astro/Nissin_Longer_Stick_Biscuits_100gr_Biskuit_240x240.png,7000,,0,608,115
Nyamnyam Fantasy Stick Choco Berry 25gr,https://storage.googleapis.com/indo-astro/Nyamnyam_Fantasy_Stick_Choco_Berry_25gr_240x240.png,3800,,0,320,25
Oreo Red Velvet 133gr,https://storage.googleapis.com/indo-astro/Oreo_Red_Velvet_133gr_240x240.png,9600,,0,588,140
Ritz Sandwich Biskuit Rasa Keju 118gr,https://storage.googleapis.com/indo-astro/Ritz_Sandwich_Biskuit_Rasa_Keju_118gr_240x240.png,9100,,0,1127,120
Roma Malkist Abon Crackers 135gr,https://storage.googleapis.com/indo-astro/Roma_Malkist_Abon_Crackers_135gr_240x240.png,7000,,0,1008,200
Roma Kelapa Vanilla Milk Cream Sandwich Cookies 180gr,https://storage.googleapis.com/indo-astro/Roma_Kelapa_Vanilla_Milk_Cream_Sandwich_Cookies_180gr_240x240.png,10500,,0,640,180
Roma Malkist Crackers 135gr,https://storage.googleapis.com/indo-astro/Roma_Malkist_Crackers_135gr_240x240.png,6100,,0,1064,150
Roma Malkist Salut Cokelat Cracker 105gr,https://storage.googleapis.com/indo-astro/Roma_Malkist_Salut_Cokelat_Cracker_105gr_240x240.png,8100,,0,546,105
Roma Sari Gandum Cokelat 115gr,https://storage.googleapis.com/indo-astro/Roma_Sari_Gandum_Coklat_115gr_240x240.png,7500,,0,600,200
Tango Crunchox Waffle 35gr,https://storage.googleapis.com/indo-astro/Tango_Crunchox_Waffle_35gr_240x240.png,2600,,0,154,40
Tango Wafer Pouch Vanilla 115gr,https://storage.googleapis.com/indo-astro/Tango_Wafer_Pouch_Vanilla_115gr_1647573388193_PRODUCT_240x240.png,10400,,0,3456,130
Meiji Hello Panda Biskuit Isi Krim Rasa Susu 45gr,https://storage.googleapis.com/indo-astro/Meiji_Hello_Panda_Biskuit_Isi_Krim_Rasa_Susu_45gr_1660031060944_PRODUCT_240x240.png,8500,,0,1140,45
Nissin Crispy Crackers 250gr,https://storage.googleapis.com/indo-astro/Nissin_Crispy_Crackers_250gr_1660060015168_PRODUCT_240x240.png,11200,,0,1440,250
Oreo Soft Cake 16gr,https://storage.googleapis.com/indo-astro/Oreo_Soft_Cake_16gr_1657858967766_PRODUCT_240x240.png,2600,,0,120,16
Monde Genji Raisin Pie 95gr,https://storage.googleapis.com/indo-astro/Monde_Genji_Raisin_Pie_95gr_1657092749908_PRODUCT_240x240.png,14800,,0,660,95
Monde Genji Original Pie 85gr,https://storage.googleapis.com/indo-astro/Monde_Genji_Original_Pie_85gr_1657092771306_PRODUCT_240x240.png,14800,,0,660,85
Astor Chocolate Wafer Stick 40gr,https://storage.googleapis.com/indo-astro/Astor_Chocolate_Wafer_Stick_40gr_1656510471116_PRODUCT_240x240.png,5800,,0,357,40
Astor Chocolate Wafer Stick 150gr,https://storage.googleapis.com/indo-astro/Astor_Chocolate_Wafer_Stick_150gr_1656510369567_PRODUCT_240x240.png,14000,,0,792,150
