Goods_name,brand,price,sold
"Wellcomm SSD 120 GB SATA III 2.5"" / SSD Murah / SSD 128GB Elite CADDY",Wellcomm,177000,86
PLUG BOOT RJ45 / COVER RJ 45,Tidak Ada Merek,200,3141
C3807 Transistor,,1000,366
Kabel LAN Cat5e STP FTP Outdoor meteran siap pakai,Tidak Ada Merek,1800,1467
Pigtail 2mm Sc upc fiber optik,,6800,1012
ADAPTOR STB&ONT 12V (1-2 ampere),,10500,149
elko 35v 470uf,,285,21
"Logitech Pebble M350 Mouse Wireless Bluetooth untuk Windows, Mac, Chrome OS, Android, iOS, Slim, Silent",Logitech,286000,634
RAM KINGSTON HYPER X FURY GAMING DDR3 4GB PC 12800 LONGDIMM,Kingston,160000,215
"CHARGER LAPTOP ACER 19v - 3,42a ORIGINAL E1-421 E1-431 E1-451 E1-471",Acer,53000,268
Siku frame FQ5515 FQ 5515 1sisi Running text,,6000,118
Karet Knee Nepple Infus Ciss/ Karet Nepple Infus digunakan untuk menghubungkan selang,Tidak Ada Merek,198,1676
Thermal Fuse,"110C , 125C , 150C , 152C , 165C , 170C , 1",1575,128
SSD RX7 128GB RESMI 3 TAHUN,RX7,174000,1814
TAFFSTUDIO USB External Soundcard V8 V8U V8S V8 PLus Live Broadcast Bluetooth - Sound Card V8 V8U V8S V8 PLus,Taff Studio,99800,604
Headset / Handsfree U19 Macaron Hifi Extra Bass Matte Colorfull Earphone Jack 3.5mm With Mic,Tidak Ada Merek,4250,14278
Fast Connector SC UPC Bukan Buaya,,3700,1205
KABEL VGA 1.5M / VGA 1.5 METER / VGA 1.5 M,Tidak Ada Merek,6500,426
Fast Connector SC/PC SC/UPC Konektor / Fiber Optik Konektor,Tidak Ada Merek,3450,3103
dioda diode 6A Ampere,,1000,222
[MIN 5 ROLL] KERTAS STICKER THERMAL 58MM COCOK UNTUK PRINTER LABEL THERMAL BLUETOOTH 53X5M RESI,Tidak Ada Merek,7500,116
Fast Connector SC UPC/SC APC 10PCS Fiber Optik Connector FTTH,,32000,316
"Kipas laptop Ace Cooling type ergostand high speed 15,6inch",,74000,67
SSD 120GB 240GB 480GB 960GB 1920GB SATA 3 V-GeN Solid State Drive 128gb 256gb 512gb 1TB 2TB Vgen,V-Gen,198000,413
KUKE Lampu Sikat USB / Lampu LED USB Flexible / Lampu Sikat Gigi,Tidak Ada Merek,1700,1398
HEADSET MACARON U19 Hifi Stereo Extra Bass Handsfree Matte Colorfull Earphone Jack 3.5mm With Mic,Tidak Ada Merek,4950,22466
CADDY | SECOND HDD CADDY CENTROO SATA  FOR LAPTOP (GREY BLACK),CENTRO,21405,261
O-Ring Rubber Mechanical Keyboard - O Ring Oring Switch Keycaps,Tidak Ada Merek,800,521
FITTING LAMPU BULAT SOKET E27 PANASONIC NLP 52201,Panasonic,7750,363
transistor Toshiba 2SC5200 - 2SA1943,,20000,301
TPLink TL-WR840N Router Wifi 2 Antena WR840N,Tenda,155000,144
Baut Laptop ASUS ACER DELL HP LENOVO TOSHIBA Sekrup Komputer M2 M2.5 M3 SSD HDD DVD PC Silver/Hitam,,1000,1040
Charger casan laptop  Asus X453 X453m X453ma X453s X453sa X441M X441N ORIGINAL,Asus,73000,556
__upport POE_3F2E AAB port Fiber Optik PCB Board Single Mode 5V-12V Power Input GARANSI MURAH [COD],,170000,465
Karet CISS / Karet Buat Selang Infus Cartridge / Catridge / Neple / Catrid / Nepple,Canon,300,107
Karet Knee Neple Infus Import Murah Kualitas Super Modifikasi Inktank Printer Canon Epson HP Brother,Tidak Ada Merek,300,92
bonkyo Gaming Mouse Rechargeable Wireless Mouse - 2.4Ghz dan 1600 DPI dengan LED Otomatis,Tidak Ada Merek,69900,382
Thermal Pasta Suntik Pendingin Processor,Tidak Ada Merek,3000,16
Tenda N301 Wireless Router 2 Antenna,,139900,1340
Livideas CD ROM Drive External DVD Drive Slim Portable Optical Drive Writer Burner Rewriter Untuk PC /Laptop,Tidak Ada Merek,129000,533
BREADBOARD MB-102 SOLDERLESS 830 830P,Tidak Ada Merek,11900,246
TP-LINK TL-SF1005D 5-port 10/100Mbps Desktop Switch Hub TP LINK,TP-Link,90000,137
[ORIGINAL] Handsfree Ori Copotan Oppo Vivo Realme Samsung Xiaomi Infinix,Tidak Ada Merek,6000,7293
Kabel Power kabel angka 8 kabel printer HP Epson 1.8m FULL HKC-118,,3666,2653
Adapter Sambungan konektor SC UPC fiber Optik FTTH CATV penyambung antar konektor Barel FO,Tidak Ada Merek,1277,1341
