name,price,brandId,brandName,itemId,inStock,image
"Desaku Bubuk Opor 12,5 Gram",2100,123771265,KedaiMart,6532092375,TRUE,https://id-test-11.slatic.net/p/5847ea1634854b8d35b60a7fffda4d0b.jpg
"Desaku Bubuk Lodeh 12,5 Gram",2100,123771265,KedaiMart,6532090391,TRUE,https://id-test-11.slatic.net/p/52428713bff59eabc24f00449c65ca24.jpg
CENGKEH MENJANGAN KEMBANG,2200,4484,No Brand,6074922020,TRUE,https://id-test-11.slatic.net/p/4d28f31f2a429c15e92f063a1d01dbfa.jpg
1 ikat pakis sayur murah dan segar berat 100gr,2250,53944,Tidak Ada Merk,6106382648,TRUE,https://id-test-11.slatic.net/p/007fcbc597b014c894a24bdd939da15b.jpg
biang kunyit segar berat 500 gram | 250 gram | the cheapest starter of turmeric,2254,4484,No Brand,4826068762,TRUE,https://id-test-11.slatic.net/p/50a4e897bb2203e8f565fecfc1c9d33a.jpg
1kg labu siam baby super/sayuran sehat alami/labu acar super,2315,4484,No Brand,5766274012,TRUE,https://id-test-11.slatic.net/p/691663bb07251b7cde5f2aa82d9dedb4.jpg
pakis sayur segar 1 ikat (100gr),2400,4484,No Brand,5933240228,TRUE,https://id-test-11.slatic.net/p/83b8c1087098aa5bce9e67d69a1278d7.jpg
labu siam baby super/sayuran sehat alami/labu acar super,2465,4484,No Brand,5686914272,TRUE,https://filebroker-cdn.lazada.co.id/kf/S56635d0645394e66b8d84593005faeceJ.jpg
Kacang bawang 1kg gurih renyah enak,2500,4484,No Brand,5568816439,TRUE,https://id-test-11.slatic.net/p/1167f25228ebbc29fc9a1f70513f8275.jpg
Ubi cilembu matang oven pulen legit aman free vakum SPC,2515,4484,No Brand,6631322612,TRUE,https://filebroker-cdn.lazada.co.id/kf/S470334c8929d470a8d2390f5f78150722.jpg
Bibit pohon cincau hijau perdu cutting batang cincau siap tanam,2600,4484,No Brand,5694488582,TRUE,https://id-test-11.slatic.net/p/2fa75b8f47eaffa83e579092275e2504.jpg
Bibit Benih Strawberry California,2634,4484,No Brand,6149068471,TRUE,https://id-test-11.slatic.net/p/182e4269bcf5e91c0be383aa4799946d.jpg
CARI SAYUR - Tempe Mendoan [1 pack],2700,121239277,CARI SAYUR,6194740542,TRUE,https://id-test-11.slatic.net/p/5174853613153e899b69481a76de0613.jpg
Ubi Madu Cilembu Matang Oven Ubi Cilembu Madu Matang Oven,2700,4484,No Brand,6517964705,TRUE,https://id-test-11.slatic.net/p/4845e134f915b4e69a4346c3d5d33ca2.jpg
UBI MADU CILEMBU MATANG OVEN UBI CILEMBU MADU MATANG OVEN,2705.93,4484,No Brand,6523170718,TRUE,https://sg-test-11.slatic.net/p/dab0a7064e32d7b078d0e0bb5208c082.png
Kecambah Pinang Thailand | Bibit Kecambah Pinang Super Unggulan,2800,4484,No Brand,6031912225,TRUE,https://id-test-11.slatic.net/p/cb973d8a027e6d96a6fd86577a6d7ae1.jpg
UBI CILEMBU/ UBI MADU CILEMBU/ UBI MANIS CILEMBU/ UBI MADU ASLI CILEMBU/ UBI KILOAN/ UBI GROSIRAN/ UBI MENTAH JUMBO BESAR,2854,4484,No Brand,6492256515,TRUE,https://sg-test-11.slatic.net/p/30ed1afbaf3efc2e25048ff532c3ba5c.png
Serai Segar | Sereh Super Fresh Murah,2879,4484,No Brand,6516574373,TRUE,https://filebroker-cdn.lazada.co.id/kf/S11a6cf4fa44b4f9b8f4ef1cd47bd5fcc3.jpg
KAPULAGA SEGAR 100GR MURAH REMPAH KAPULAGA SEGAR DI PETIK LANGSUNG SAAT ADA ORDERAN DI KEBUN SENDIRI,2890.18,4484,No Brand,6043060452,TRUE,https://filebroker-cdn.lazada.co.id/kf/Sdcc86afa008b4e369941aecf2decf2f2i.jpg
"Keripik kaca Extra pedas extra daun jeruk 40gram / Keripca extra pedas,manis,gurih,renyah / Keripik Elod pedas extra daun jeruk 40gram / Keripik pedas kekinian 40gram / Keripik extra pedas terlaris",2900,4484,No Brand,855816656,TRUE,https://id-test-11.slatic.net/p/ffd9de484b7e95a3d9a0aba2733c5141.jpg
Ubi Madu Cilembu Matang Oven Ubi Cilembu Madu Matang Oven,2925,4484,No Brand,6652178495,TRUE,https://id-test-11.slatic.net/p/71d2ae34be821af7ca196cc5c1dc42f4.png
